Year,Month,Product_Type,Country,Sales
2014,5,2,Columbia,5378866.855
2014,6,2,Columbia,5585557.365
2014,7,2,Columbia,5959618.171
2014,8,2,Columbia,5460201.494
2014,9,2,Columbia,5952563.843
2014,10,2,Columbia,6039795.805
2014,11,2,Columbia,5631484.176
2014,12,2,Columbia,6195395.335
2015,1,2,Columbia,6763375.466
2015,2,2,Columbia,5801010.502
2015,3,2,Columbia,7217079.099
2015,4,2,Columbia,6344642.806
2015,5,2,Columbia,6295075.751
2015,6,2,Columbia,6894308.638
2015,7,2,Columbia,7361290.552
2015,8,2,Columbia,5957380.866
2015,9,2,Columbia,6966275.478
2015,10,2,Columbia,6633871.135
2015,11,2,Columbia,7276615.386
2015,12,2,Columbia,6788723.77
2016,1,2,Columbia,7211764.375
2016,2,2,Columbia,6406539.589
2016,3,2,Columbia,7416026.356
2015,1,3,Columbia,159065.7
2015,2,3,Columbia,213032.1
2015,3,3,Columbia,214405.45
2015,4,3,Columbia,289779.2
2015,5,3,Columbia,269092.15
2015,6,3,Columbia,263377.45
2015,7,3,Columbia,272259.75
2015,8,3,Columbia,184946.75
2015,9,3,Columbia,239002.1
2015,10,3,Columbia,276301.7
2015,11,3,Columbia,187704.3
2015,12,3,Columbia,282780.1
2016,1,3,Columbia,253521
2016,2,3,Columbia,228392.8
2016,3,3,Columbia,930756.55
2016,4,3,Columbia,2065856.85
2016,5,3,Columbia,1806626.8
2016,6,3,Columbia,2587822.25
2016,7,3,Columbia,2790065.35
2016,8,3,Columbia,2781916
2016,9,3,Columbia,3572224.1
2016,10,3,Columbia,3196697.4
2016,11,3,Columbia,4263236.55
2016,12,3,Columbia,4351764.9
2013,1,2,Denmark,101803783.2
2013,2,2,Denmark,84420080.04
2013,3,2,Denmark,89115805.96
2013,4,2,Denmark,99121118.02
2013,5,2,Denmark,105996012.8
2013,6,2,Denmark,87153362.18
2013,7,2,Denmark,116514482.7
2013,8,2,Denmark,92339172.19
2013,9,2,Denmark,95175644.32
2013,10,2,Denmark,105321378.1
2013,11,2,Denmark,97441257.71
2013,12,2,Denmark,79482627.79
2014,1,2,Denmark,126063120
2014,2,2,Denmark,87499903.51
2014,3,2,Denmark,100108657.8
2014,4,2,Denmark,102310200.2
2014,5,2,Denmark,103325173.2
2014,6,2,Denmark,122147540.3
2014,7,2,Denmark,134966171.2
2014,8,2,Denmark,118285221.3
2014,9,2,Denmark,131077379.8
2014,10,2,Denmark,136863283.7
2014,11,2,Denmark,118384672.9
2014,12,2,Denmark,143472538.8
2015,1,2,Denmark,133800258.5
2015,2,2,Denmark,124063230.4
2015,3,2,Denmark,155784302.6
2015,4,2,Denmark,155749482.8
2015,5,2,Denmark,137057931.4
2015,6,2,Denmark,190030330.7
2015,7,2,Denmark,127374761.4
2015,8,2,Denmark,170593642.3
2015,9,2,Denmark,177112478.4
2015,10,2,Denmark,162554097.2
2015,11,2,Denmark,171535032.1
2015,12,2,Denmark,199013682.5
2016,1,2,Denmark,126149139.7
2016,2,2,Denmark,176206278
2016,3,2,Denmark,195627325.5
2013,1,5,England,462040.253
2013,2,5,England,414623.892
2013,3,5,England,439564.683
2013,4,5,England,505595.955
2013,5,5,England,490730.57
2013,6,5,England,551836.056
2013,7,5,England,470455.575
2013,8,5,England,413118.357
2013,9,5,England,475700.733
2013,10,5,England,509083.266
2013,11,5,England,578172.078
2013,12,5,England,586766.442
2014,1,5,England,459358.723
2014,2,5,England,469240.462
2014,3,5,England,525060.424
2014,4,5,England,555722.487
2014,5,5,England,556188.519
2014,6,5,England,527223.26
2014,7,5,England,633743.565
2014,8,5,England,469431.771
2014,9,5,England,556412.184
2014,10,5,England,554638.882
2014,11,5,England,701630.099
2014,12,5,England,701607.72
2015,1,5,England,625137.87
2015,2,5,England,519958.888
2015,3,5,England,643624.254
2015,4,5,England,700383.107
2015,5,5,England,561503.972
2015,6,5,England,632528.224
2015,7,5,England,757821.68
2015,8,5,England,465294.308
2015,9,5,England,626752.834
2015,10,5,England,623870.843
2013,1,4,England,166724.088
2013,2,4,England,140515.179
2013,3,4,England,159136.512
2013,4,4,England,179106.909
2013,5,4,England,175553.922
2013,6,4,England,220668.77
2013,7,4,England,141422.697
2013,8,4,England,140235.158
2013,9,4,England,154596.25
2013,10,4,England,179760.534
2013,11,4,England,194684.677
2013,12,4,England,200494.884
2014,1,4,England,139422.996
2014,2,4,England,144446.911
2014,3,4,England,175020.481
2014,4,4,England,181718.924
2014,5,4,England,150916.282
2014,6,4,England,164236.603
2014,7,4,England,181642.914
2014,8,4,England,139599.961
2014,9,4,England,173673.911
2014,10,4,England,169052.967
2014,11,4,England,172023.716
2014,12,4,England,190301.116
2015,1,4,England,195012.865
2015,2,4,England,116342.221
2015,3,4,England,171477.683
2015,4,4,England,175786.315
2015,5,4,England,146155.572
2015,6,4,England,168429.613
2015,7,4,England,202773.759
2015,8,4,England,117375.138
2015,9,4,England,174930.141
2015,10,4,England,164547.483
2013,1,4,Finland,15152668.9
2013,2,4,Finland,16524003.03
2013,3,4,Finland,28215771.78
2013,4,4,Finland,22521599.98
2013,5,4,Finland,32940767.62
2013,6,4,Finland,19155012.36
2013,7,4,Finland,27178826.61
2013,8,4,Finland,27491286.02
2013,9,4,Finland,33899662.99
2013,10,4,Finland,30051588.95
2013,11,4,Finland,37326537.52
2013,12,4,Finland,25898001.13
2014,1,4,Finland,28467099.01
2014,2,4,Finland,18217629.8
2014,3,4,Finland,39837318.3
2014,4,4,Finland,33156979.51
2014,5,4,Finland,23800179.55
2014,6,4,Finland,27893914.37
2014,7,4,Finland,30141752.85
2014,8,4,Finland,26632281.69
2014,9,4,Finland,38018260.33
2014,10,4,Finland,23671372.67
2014,11,4,Finland,25216033.61
2014,12,4,Finland,30167668.74
2015,1,4,Finland,30704955.92
2015,2,4,Finland,50112719.41
2015,3,4,Finland,9043334.911
2015,4,4,Finland,31065785.7
2015,5,4,Finland,24445319.24
2015,6,4,Finland,31930259.18
2015,7,4,Finland,28285792.54
2015,8,4,Finland,28763780.62
2015,9,4,Finland,28816444.57
2015,10,4,Finland,31267369.8
