Year_Month,Sales
2015-07-01,1367439.881
2015-08-01,1212599.756
2015-09-01,846716.4029999999
2015-10-01,1258708.855
2015-11-01,1157771.368
2015-12-01,1659399.6409999998
2013-01-01,3945463.188
2013-02-01,4072095.255
2013-03-01,4187389.76
2013-04-01,4227284.851
2013-05-01,4450115.017
2013-06-01,3872071.895
2013-07-01,4212434.251
2013-08-01,2926735.2630000003
2013-09-01,3486514.9639999997
2013-10-01,4260926.757
2013-11-01,4041331.836
2013-12-01,4000567.525
2014-01-01,4064457.9239999996
2014-02-01,4510911.415
2014-03-01,4551307.152
2014-04-01,4354135.911
2014-05-01,4839496.523
2014-06-01,4554270.297
2014-07-01,4805135.291
2014-08-01,2944263.474
2014-09-01,3644013.392
2014-10-01,3578027.35
2014-11-01,3268922.8430000003
2014-12-01,3495491.998
2015-01-01,3713111.253
2015-02-01,3584411.5689999997
2015-03-01,4632724.69
2015-04-01,3935877.979
2015-05-01,3644168.1939999997
2015-06-01,4281157.83
2015-07-01,4077193.385
2015-08-01,3050792.369
2015-09-01,3290631.519
2015-10-01,4065991.233
2015-11-01,3633019.12
2015-12-01,3567290.2589999996
2016-01-01,3311893.466
2016-02-01,3615677.687
2016-03-01,2927307.872
2013-01-01,2883700.334
2013-02-01,2480566.224
2013-03-01,2820283.244
2013-04-01,3147892.269
2013-05-01,3387566.258
2013-06-01,3240432.85
2013-07-01,4123881.877
2013-08-01,3233600.522
2013-09-01,3653042.2139999997
2013-10-01,3833580.36
2013-11-01,4184003.666
2013-12-01,4117041.1760000004
2014-01-01,4919963.5
2014-02-01,4629375.174
2014-03-01,4395318.016
2014-04-01,5180557.522
2014-05-01,5378866.855
2014-06-01,5585557.365
2014-07-01,5959618.171
2014-08-01,5460201.494
2014-09-01,5952563.842999999
2014-10-01,6039795.805
2014-11-01,5631484.176
2014-12-01,6195395.335
2015-01-01,6763375.466
2015-02-01,5801010.502
2015-03-01,7217079.098999999
2015-04-01,6344642.806
2015-05-01,6295075.751
2015-06-01,6894308.637999999
2015-07-01,7361290.552
2015-08-01,5957380.866
2015-09-01,6966275.477999999
2015-10-01,6633871.135
2015-11-01,7276615.386
2015-12-01,6788723.77
2016-01-01,7211764.375
2016-02-01,6406539.589
2016-03-01,7416026.356000001
2015-01-01,159065.7
2015-02-01,213032.1
2015-03-01,214405.45
2015-04-01,289779.2
2015-05-01,269092.15
2015-06-01,263377.45
2015-07-01,272259.75
2015-08-01,184946.75
2015-09-01,239002.1
2015-10-01,276301.7
2015-11-01,187704.3
2015-12-01,282780.1
2016-01-01,253521.0
2016-02-01,228392.8
2016-03-01,930756.55
2016-04-01,2065856.85
2016-05-01,1806626.8
2016-06-01,2587822.25
2016-07-01,2790065.35
2016-08-01,2781916.0
2016-09-01,3572224.1
2016-10-01,3196697.4
2016-11-01,4263236.55
2016-12-01,4351764.9
2013-01-01,101803783.2
2013-02-01,84420080.04
2013-03-01,89115805.96
2013-04-01,99121118.02
2013-05-01,105996012.8
2013-06-01,87153362.18
2013-07-01,116514482.7
2013-08-01,92339172.19
2013-09-01,95175644.32
2013-10-01,105321378.1
2013-11-01,97441257.71
2013-12-01,79482627.79
2014-01-01,126063120.0
2014-02-01,87499903.51
2014-03-01,100108657.8
2014-04-01,102310200.2
2014-05-01,103325173.2
2014-06-01,122147540.3
2014-07-01,134966171.2
2014-08-01,118285221.3
2014-09-01,131077379.8
2014-10-01,136863283.7
2014-11-01,118384672.9
2014-12-01,143472538.8
2015-01-01,133800258.5
2015-02-01,124063230.4
2015-03-01,155784302.6
2015-04-01,155749482.8
2015-05-01,137057931.4
2015-06-01,190030330.7
2015-07-01,127374761.4
2015-08-01,170593642.3
2015-09-01,177112478.4
2015-10-01,162554097.2
2015-11-01,171535032.1
2015-12-01,199013682.5
2016-01-01,126149139.7
2016-02-01,176206278.0
2016-03-01,195627325.5
2013-01-01,462040.25299999997
2013-02-01,414623.89200000005
2013-03-01,439564.68299999996
2013-04-01,505595.955
2013-05-01,490730.57
2013-06-01,551836.056
2013-07-01,470455.575
2013-08-01,413118.357
2013-09-01,475700.73299999995
2013-10-01,509083.266
2013-11-01,578172.078
2013-12-01,586766.442
2014-01-01,459358.723
2014-02-01,469240.46200000006
2014-03-01,525060.424
2014-04-01,555722.4870000001
2014-05-01,556188.519
2014-06-01,527223.26
2014-07-01,633743.565
2014-08-01,469431.771
2014-09-01,556412.184
2014-10-01,554638.882
2014-11-01,701630.099
2014-12-01,701607.72
2015-01-01,625137.87
2015-02-01,519958.888
2015-03-01,643624.254
2015-04-01,700383.1070000001
2015-05-01,561503.9720000001
2015-06-01,632528.2239999999
2015-07-01,757821.68
2015-08-01,465294.30799999996
2015-09-01,626752.834
2015-10-01,623870.843
2013-01-01,166724.08800000002
2013-02-01,140515.179
2013-03-01,159136.512
2013-04-01,179106.90899999999
2013-05-01,175553.922
2013-06-01,220668.77
2013-07-01,141422.697
2013-08-01,140235.158
2013-09-01,154596.25
2013-10-01,179760.53399999999
2013-11-01,194684.677
2013-12-01,200494.884
2014-01-01,139422.99599999998
2014-02-01,144446.911
2014-03-01,175020.48100000003
2014-04-01,181718.924
2014-05-01,150916.282
2014-06-01,164236.603
2014-07-01,181642.914
2014-08-01,139599.961
2014-09-01,173673.91100000002
2014-10-01,169052.967
2014-11-01,172023.71600000001
2014-12-01,190301.116
2015-01-01,195012.865
2015-02-01,116342.22099999999
2015-03-01,171477.68300000002
2015-04-01,175786.315
2015-05-01,146155.572
2015-06-01,168429.613
2015-07-01,202773.759
2015-08-01,117375.138
2015-09-01,174930.141
2015-10-01,164547.483
2013-01-01,15152668.9
2013-02-01,16524003.03
2013-03-01,28215771.78
2013-04-01,22521599.98
2013-05-01,32940767.62
2013-06-01,19155012.36
2013-07-01,27178826.61
2013-08-01,27491286.02
2013-09-01,33899662.99
2013-10-01,30051588.95
2013-11-01,37326537.52
2013-12-01,25898001.13
2014-01-01,28467099.01
2014-02-01,18217629.8
2014-03-01,39837318.3
2014-04-01,33156979.51
2014-05-01,23800179.55
2014-06-01,27893914.37
2014-07-01,30141752.85
2014-08-01,26632281.69
2014-09-01,38018260.33
2014-10-01,23671372.67
2014-11-01,25216033.61
2014-12-01,30167668.74
2015-01-01,30704955.92
2015-02-01,50112719.41
2015-03-01,9043334.911
2015-04-01,31065785.7
2015-05-01,24445319.24
2015-06-01,31930259.18
2015-07-01,28285792.54
2015-08-01,28763780.62
2015-09-01,28816444.57
2015-10-01,31267369.8
